國文,英文,數學,社會,自然
8,11,15,13,10
14,11,7,13,15
6,14,14,13,10
14,15,11,8,12
13,12,6,10,11
6,6,12,11,9
13,8,10,6,9
9,11,15,14,7
15,9,12,10,8
10,14,9,10,11
9,10,13,10,12
14,6,7,12,8
12,13,14,10,14
9,9,11,12,15
7,7,13,9,10
12,13,15,11,10
14,14,8,15,12
11,6,15,13,8
11,15,6,13,6
10,7,13,8,12
10,8,9,15,13
14,12,14,8,9
8,8,7,9,8
6,9,14,14,6
8,8,8,14,13
10,11,8,10,10
15,7,7,13,15
6,15,14,11,10
14,7,9,9,10
6,9,8,12,7
12,12,9,12,9
11,14,14,15,10
11,9,6,15,13
10,6,11,8,10
14,7,10,12,11
12,13,8,6,9
6,6,8,11,12
15,11,15,8,15
7,15,10,11,15
9,11,11,15,7
14,11,6,12,11
7,7,13,13,6
8,14,7,13,6
6,11,13,12,13
11,6,7,15,11
14,15,7,11,13
12,8,14,10,11
12,12,9,8,9
14,10,15,13,9
12,14,12,13,12
7,11,9,10,8
13,15,13,6,14
13,10,9,9,14
6,6,12,6,14
13,11,6,7,6
10,15,7,7,9
12,10,8,8,6
13,9,14,12,6
12,7,6,12,14
13,15,7,6,7
6,15,14,15,15
6,14,15,14,14
14,15,11,14,15
8,9,9,14,8
6,8,6,11,7
10,13,8,12,11
9,11,11,12,10
11,14,13,14,10
6,12,12,12,15
7,6,10,11,13
15,15,7,8,8
6,8,13,6,11
14,7,12,13,11
12,9,15,10,6
6,15,9,14,9
14,13,8,12,6
9,10,14,7,13
13,15,10,9,15
8,13,10,6,8
7,9,9,7,13
9,15,15,9,15
10,6,9,13,15
11,13,6,13,15
9,13,6,13,6
10,13,11,12,8
10,7,9,6,15
10,9,10,15,11
11,13,15,13,15
15,8,11,9,13
9,7,15,9,10
11,9,14,8,9
11,9,8,8,15
11,10,7,11,10
9,7,15,15,12
10,11,10,12,13
6,15,8,7,11
8,9,14,13,8
6,8,14,7,12
10,12,15,7,8
12,15,9,6,8
